start_t,end_t,label
576.61,577.26,beat
577.28,578.18,emblem
578.31,579.89,metaphoric
579.91,581.47,metaphoric
583.69,584.62,metaphoric
584.65,585.45,beat
586.24,588.35,metaphoric
588.37,590.53,beat
590.55,593.64,metaphoric
593.66,595.03,metaphoric
595.06,596.77,beat
597.94,601.28,deictic (abstract)
601.42,602.85,beat
603.39,604.81,deictic (abstract)
606.51,609.7,deictic (abstract)
610.28,611.61,beat
616.93,619.79,metaphoric
619.8,623.34,beat
629.82,631.26,emblem
631.94,632.9,emblem
636.63,637.79,beat
637.81,640.22,metaphoric
640.24,643.75,beat
643.75,647.55,metaphoric
647.57,650.95,deictic (abstract)
651.63,653.99,metaphoric
654.3,654.78,beat
654.8,655.72,beat
657.9,658.92,beat
658.95,661.52,metaphoric
662.86,665.23,beat
665.79,667.83,beat
667.85,671.18,metaphoric
671.2,673.23,deictic (abstract)
673.25,676.82,iconic
678.48,683.66,emblem
693.65,698.35,beat
698.37,701.83,metaphoric
701.84,702.96,metaphoric
705.88,706.77,metaphoric
707.57,710.17,beat
710.2,716.41,metaphoric
716.44,719.55,metaphoric
719.57,720.59,metaphoric
720.82,724.2,metaphoric
725.18,725.86,beat
726.02,726.59,beat
727.34,728.16,beat
728.16,729.4,beat
729.4,731.37,metaphoric
731.4,732.58,beat
732.58,734.25,beat
734.27,735.47,beat
735.95,737.38,beat
752.14,755.13,metaphoric
756.39,760.07,emblem
761.41,766.88,beat
767.71,773.41,metaphoric
773.44,775.57,deictic (abstract)
776.79,778.02,metaphoric
778.02,780.35,metaphoric
780.38,782.36,metaphoric
782.38,783.39,beat
783.43,786.59,metaphoric
786.6,791.5,iconic
794.91,797.48,metaphoric
797.5,800.53,metaphoric
801.86,807.07,metaphoric
807.75,817.97,beat
817.99,821.99,metaphoric
822.02,822.74,emblem
822.74,831.73,beat
832.42,833.54,metaphoric
833.56,834.16,beat
834.18,842.02,metaphoric
842.04,844.05,metaphoric
844.07,846.04,metaphoric
846.96,850.82,metaphoric
850.84,852.08,metaphoric
852.77,858.28,beat
858.31,859.18,adaptor
859.2,861.23,deictic (abstract)
861.26,862.15,metaphoric
863.29,864.51,metaphoric
864.54,865.74,beat
866.07,866.61,beat
866.93,867.93,metaphoric
867.95,871.59,deictic (abstract)
871.62,873.15,beat
873.18,875.45,metaphoric
876.61,881.16,beat
891.91,892.77,beat
905.9,915.55,beat
916.89,921.02,metaphoric
921.05,925.65,metaphoric
925.69,926.87,metaphoric
927.45,929.66,beat
929.7,931.18,metaphoric
931.2,932.55,beat
934.13,935.57,metaphoric
937.0,939.04,beat
939.06,942.21,metaphoric
942.23,944.63,beat
974.07,979.53,beat
990.09,998.52,beat
998.55,1000.46,beat
1001.58,1003.54,metaphoric
1014.67,1017.1,beat
1018.06,1021.11,beat
1023.69,1024.7,beat
1025.5,1026.69,beat
1026.72,1028.04,beat
1028.06,1029.27,beat
1030.71,1032.04,beat
1032.64,1037.98,beat
1038.01,1038.94,beat
1040.8,1047.68,beat
1047.7,1049.32,metaphoric
1049.97,1053.94,deictic (abstract)
1053.97,1058.46,metaphoric
1058.48,1059.82,adaptor
1059.84,1060.71,beat
1060.74,1061.75,beat
1063.07,1064.89,beat
1067.07,1067.76,metaphoric
1067.76,1068.81,iconic
1069.87,1070.63,beat
1071.27,1071.72,metaphoric
1071.72,1072.77,iconic
1074.42,1075.91,metaphoric
1075.93,1077.08,emblem
1078.04,1079.74,metaphoric
1079.75,1080.58,metaphoric
1080.58,1083.63,metaphoric
1083.65,1084.52,metaphoric
1084.52,1088.99,iconic
1089.01,1090.9,metaphoric
1090.93,1092.39,beat
1093.26,1095.61,metaphoric
1095.64,1098.13,metaphoric
1098.16,1099.5,metaphoric
1099.96,1101.13,metaphoric
1101.99,1102.97,beat
1103.0,1105.46,beat
1105.49,1108.3,metaphoric
1108.33,1111.08,metaphoric
1111.97,1112.89,metaphoric
1114.49,1117.09,metaphoric
1117.12,1121.37,metaphoric
1121.39,1122.59,beat
1122.62,1125.07,metaphoric
1125.09,1126.55,metaphoric
1126.57,1128.1,beat
1128.1,1129.43,metaphoric
1130.98,1132.04,beat
1133.7,1134.55,metaphoric
1135.99,1136.88,metaphoric
1137.44,1138.04,beat
1138.9,1139.65,beat
1140.69,1142.19,beat
1145.01,1149.37,beat
1150.3,1157.84,iconic
1157.87,1161.94,metaphoric
1161.96,1163.56,metaphoric
1164.68,1166.91,beat
1167.75,1168.92,beat
1172.95,1173.74,beat
1173.76,1174.53,beat
1175.65,1176.58,beat
1182.33,1183.17,beat
1186.54,1191.76,metaphoric
1191.79,1199.09,metaphoric
1199.11,1200.94,iconic
1200.98,1201.87,metaphoric
1201.87,1202.33,metaphoric
1202.33,1203.02,metaphoric
1203.02,1206.21,iconic
1206.24,1209.39,metaphoric
1209.42,1215.77,beat
1215.78,1218.01,emblem
1221.31,1224.18,beat
1224.2,1229.59,metaphoric
1229.61,1233.71,metaphoric
1233.74,1237.32,metaphoric
1237.35,1244.87,beat
1244.9,1248.8,metaphoric
1248.83,1250.59,metaphoric
1250.61,1251.47,emblem
1252.34,1253.13,beat
1255.47,1262.27,metaphoric
1263.73,1267.55,beat
1267.57,1270.56,beat
1270.58,1271.44,deictic (abstract)
1272.55,1279.01,emblem
1286.09,1290.82,emblem
1290.85,1292.7,metaphoric
1292.72,1299.94,emblem
1299.97,1303.73,metaphoric
1303.75,1305.93,metaphoric
1305.96,1307.42,deictic (abstract)
1307.45,1310.29,metaphoric
1358.99,1360.25,metaphoric
1360.73,1361.44,beat
1368.13,1369.28,beat
1369.68,1370.36,beat
1370.46,1373.62,beat
1374.49,1375.19,beat
1375.51,1376.31,deictic (abstract)
1377.24,1378.15,emblem
1400.68,1402.4,deictic (abstract)
1402.42,1404.97,metaphoric
1405.0,1406.96,metaphoric
1407.67,1411.46,metaphoric
1411.49,1414.92,beat
1414.94,1417.29,metaphoric
1417.3,1419.65,beat
1419.68,1423.11,beat
1423.74,1424.11,beat
1425.11,1425.64,beat
1425.67,1427.61,metaphoric
1433.75,1434.86,beat
1436.85,1438.46,beat
1438.49,1441.01,metaphoric
1441.04,1442.99,beat
1449.78,1455.41,beat
1457.15,1459.67,beat
1459.7,1461.15,beat
1462.7,1463.64,beat
1468.37,1468.96,metaphoric
1468.98,1470.04,metaphoric
1470.94,1472.58,metaphoric
1474.3,1476.26,beat
1486.52,1493.62,metaphoric
