start_t,end_t,label
765.86,767.13,beat
767.15,768.35,metaphoric
768.39,771.4,metaphoric
805.65,808.59,metaphoric
808.62,811.21,beat
811.24,811.92,metaphoric
811.92,813.1,metaphoric
813.1,819.37,beat
819.4,821.68,metaphoric
821.68,824.88,metaphoric
824.93,826.23,beat
826.26,830.92,metaphoric
830.95,832.19,beat
841.98,843.95,metaphoric
843.98,846.11,deictic
846.15,849.89,metaphoric
849.92,858.47,beat
858.51,861.42,metaphoric
861.46,863.56,metaphoric
863.6,865.81,metaphoric
898.03,899.69,metaphoric
899.73,902.06,deictic
902.1,903.78,beat
913.68,916.41,metaphoric
916.46,917.55,metaphoric
917.58,919.18,metaphoric
919.22,920.2,metaphoric
920.22,920.71,beat
920.74,924.22,deictic (abstract)
932.74,936.21,deictic
936.25,940.32,metaphoric
941.16,944.43,beat
944.47,946.51,beat
946.55,948.17,beat
948.2,948.88,beat
948.91,949.32,deictic
949.34,966.17,beat
966.2,967.89,metaphoric
967.92,969.78,metaphoric
969.82,974.62,beat
974.66,977.6,metaphoric
977.62,981.08,deictic
981.97,986.99,beat
1016.54,1017.49,beat
1017.51,1018.31,deictic
1018.35,1024.4,beat
1029.93,1032.04,beat
1032.46,1034.91,beat
1034.96,1036.16,beat
1036.19,1039.19,beat
1039.22,1040.61,beat
1061.77,1063.63,metaphoric
1065.16,1066.36,deictic
1073.23,1075.21,beat
1091.56,1093.9,metaphoric
1093.92,1095.92,metaphoric
1095.96,1097.48,metaphoric
1097.52,1098.87,deictic
1098.9,1100.1,metaphoric
1100.13,1101.24,beat
1103.19,1105.75,metaphoric
1112.0,1114.12,beat
1117.08,1118.63,beat
1126.41,1127.05,deictic
1127.05,1127.89,metaphoric
1127.92,1131.27,metaphoric
1131.32,1132.64,deictic (abstract)
1132.68,1135.94,metaphoric
1165.74,1169.28,metaphoric
1180.9,1181.64,deictic
1181.68,1182.78,beat
1182.83,1185.13,metaphoric
1185.16,1186.5,beat
1186.53,1189.64,beat
1190.22,1195.03,beat
1195.07,1196.72,metaphoric
1196.75,1199.12,metaphoric
1199.16,1201.61,metaphoric
1201.65,1203.92,beat
1209.91,1211.13,deictic
1226.74,1230.04,metaphoric
1230.08,1232.35,metaphoric
1232.39,1233.73,deictic
1234.58,1238.48,emblem
1238.52,1239.63,beat
1239.67,1242.42,metaphoric
1243.17,1243.46,deictic
1243.46,1246.06,metaphoric
1263.36,1264.42,beat
1264.42,1267.99,metaphoric
1268.02,1269.65,metaphoric
1269.69,1271.87,beat
1333.59,1335.66,emblem
1366.28,1367.38,beat
1367.38,1370.48,beat
1370.51,1373.28,deictic
1373.32,1375.73,beat
1375.76,1378.94,deictic (abstract)
1378.96,1379.89,beat
1379.92,1384.53,metaphoric
1402.98,1404.95,deictic (abstract)
1404.99,1408.23,metaphoric
1408.25,1411.86,metaphoric
1411.89,1412.47,deictic
1412.5,1413.94,iconic
1448.01,1452.71,metaphoric
1452.74,1455.8,beat
1455.82,1461.71,metaphoric
1461.74,1463.04,deictic
1463.04,1464.71,beat
1464.83,1466.37,beat
1466.91,1468.41,beat
1482.39,1483.17,beat
1503.49,1506.03,beat
